id,answer_start,answer,context,question,answer_end,is binding
2535562,-1,,ERROR_UNKNOWN,What is the source library of this binding?,-1,False
1259011,-1,,"UICollectionViewController and UITableViewControllers, one driven by JSON, one by model rows.",What is the source library of this binding?,-1,False
122269,-1,,Koofr is a storage as a service provider located in Europe. See https:koofr.eu for more info. This is an API wrapper that simplifies working with files. Filesystem roots are called mounts and cannot be manipulated through api. The API is contained in a type class in order to allow mocking. Mock runner and wider API coverage coming soon.,What is the source library of this binding?,-1,False
2560783,-1,,use JSON-encoded data over WebSockets with IO::Async,What is the source library of this binding?,-1,False
1005685,-1,,Markdown parser,What is the source library of this binding?,-1,False
894522,54,HTML5 Drag and Drop,Angular directives for sorting nested lists using the HTML5 Drag and Drop API,What is the source library of this binding?,73,True
3645903,15,TA-Lib,A synchronous [TA-Lib](http://ta-lib.org/) bindings for Node.js & TypeScript.,What is the source library of this binding?,21,True
2573767,-1,,"HDBSCAN is a clustering algorithm developed by Campello, Moulavi, and Sander. It extends DBSCAN by converting it into a hierarchical clustering algorithm, and then using a technique to extract a flat clustering based in the stability of clusters.",What is the source library of this binding?,-1,False
717761,-1,,Create debian packages from leiningen project,What is the source library of this binding?,-1,False
2549519,-1,,idk fix later,What is the source library of this binding?,-1,False
3289674,14,MLflow,Interface to 'MLflow',What is the source library of this binding?,20,True
3245338,-1,,A tool to grab meta data for tv shows and rename files on your hard disk.,What is the source library of this binding?,-1,False
3121884,-1,,Feature Transformers - TensorFlow,What is the source library of this binding?,-1,False
2991406,-1,,Spring Cloud Stream Dependencies,What is the source library of this binding?,-1,False
405314,-1,,"Fast, Scientific and Numerical Computing for the JVM (NDArrays)",What is the source library of this binding?,-1,False
1767536,-1,,[![NPM version](https://img.shields.io/npm/v/request-merger.svg?style=flat)](https://www.npmjs.com/package/request-merger) [![NPM download](https://img.shields.io/npm/dm/request-merger.svg?style=flat)](https://www.npmjs.com/package/request-merger) [![Buil,What is the source library of this binding?,-1,False
1929578,7,OpenAi HTTP,Access OpenAi HTTP API with Ruby,What is the source library of this binding?,18,True
3172100,-1,,Dead simple custom command to create a django app with djando rest framework CRUD RESTFull API,What is the source library of this binding?,-1,False
