Auto Aligned,Binding Type,Initial Aligned Version,Aligned Note,Manual Inspection Notes,Binding?,Related?,Official?,Main package?,ID,Host Repo IDs,Type,Platform,Name,Repository URL,First Version Date,Versions Count,Binding Host,Description,Repository Name with Owner,Repository Description,Keywords,Licenses,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host Normalized,Binding Host Normalized - No Space
main,,,,,TRUE,TRUE,TRUE,TRUE,353059,165170,Linked Binding,Maven,org.deeplearning4j:deeplearning4j-core,https://github.com/deeplearning4j/deeplearning4j,2014-02-22 18:54:22,47,,DeepLearning for java,eclipse/deeplearning4j,"Eclipse Deeplearning4j, ND4J, DataVec and more - deep learning & linear algebra for Java/Scala with GPUs + Spark",,Apache-2.0,30,,660,165170,GitHub,FALSE,11328,Apache-2.0,,"artificial-intelligence,clojure,deeplearning,deeplearning4j,dl4j,gpu,hadoop,intellij,java,linear-algebra,matrix-library,neural-nets,python,scala,spark",,
Y,,,,"one ecosystem, two bindings",TRUE,TRUE,TRUE,,3122840,165170,Binding,Maven,org.deeplearning4j:scalnet_2.11,https://github.com/deeplearning4j/ScalNet,2016-09-17 3:30:47,10,Deeplearning4j,"A Scala wrapper for Deeplearning4j, inspired by Keras. Scala + DL + Spark + GPUs",deeplearning4j/ScalNet,"A Scala wrapper for Deeplearning4j, inspired by Keras. Scala + DL + Spark + GPUs",,Apache-2.0,0,,0,13230470,GitHub,FALSE,326,Apache-2.0,Unmaintained,"deeplearning,deeplearning4j,nd4j,sbt,scala,spark",deeplearning4j,deeplearning4j
N,,,look dep info in https://clojars.org/hswick/jutsu.ai,,TRUE,FALSE,FALSE,,3581741,165170,Binding,Clojars,hswick/jutsu.ai,,2019-01-09 0:05:40,12,deeplearning4j,Clojure wrapper for deeplearning4j intended to make machine learning on the JVM simpler,,,,,0,,0,,,,,,,,deeplearning4j,deeplearning4j
main,,,,,TRUE,FALSE,TRUE,TRUE,2239255,168500,Binding,Maven,org.alluxio:alluxio-core-client,,2016-02-23 9:08:55,13,Alluxio,Distribution of client for Alluxio core,,,,,5,,10,,,,,,,,alluxio,alluxio
N,,,,official without link,TRUE,FALSE,FALSE,,2424129,168500,Binding,Pypi,alluxio,https://github.com/TachyonNexus/alluxio-py,2017-09-07 3:18:39,2,Alluxio,Alluxio python client,,,,,0,,0,,,,,,,,alluxio,alluxio
N,,,"add a dash after the version number, check https://github.com/dmlc/xgboost/blob/v0.40/R-package/DESCRIPTION and https://github.com/dmlc/xgboost/blob/v0.40/CHANGES.md",,TRUE,TRUE,TRUE,,689683,339654,Project,CRAN,xgboost,https://github.com/dmlc/xgboost,2014-09-01 19:47:00,19,,Extreme Gradient Boosting,dmlc/xgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",,Apache-2.0,59,,128,339654,GitHub,FALSE,17996,Apache-2.0,,"distributed-systems,gbdt,gbm,gbrt,machine-learning,xgboost",,
Y,,,"more pre-releases, https://pypi.org/project/xgboost/#history",,TRUE,TRUE,TRUE,,932668,339654,Linked Binding,Pypi,xgboost,https://github.com/dmlc/xgboost,2015-08-16 5:59:43,33,,XGBoost Python Package,dmlc/xgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",,Apache-2.0,0,,796,339654,GitHub,FALSE,17996,Apache-2.0,,"distributed-systems,gbdt,gbm,gbrt,machine-learning,xgboost",,
N,,,,,TRUE,FALSE,FALSE,,1985474,339654,Binding,NuGet,FooCorp.TestXGB,https://github.com/PicNet/XGBoost.Net,2016-12-06 2:56:48,6,XGBoost,.Net wrapper for the XGBoost machine learning library.,PicNet/XGBoost.Net,.Net wrappers for the awesome XGBoost library,"boosted,learning,tree,machine,xgboost",Apache-2.0,0,,0,16469151,GitHub,FALSE,33,Apache-2.0,,,xgboost,xgboost
N,,,"1, alignment not found https://github.com/sighingnow/xgboost-haskell",,TRUE,FALSE,FALSE,,2497394,339654,Binding,Hackage,xgboost-haskell,https://github.com/sighingnow/xgboost-haskell,2017-10-19 11:40:14,1,XGBoost,"XGBoost library for Haskell via FFI binding, on top of foundation.",sighingnow/xgboost-haskell,XGBoost for Haskell via FFI.,"development,library,mit,program,Propose Tags ,ML.DMLC.XGBoost,ML.DMLC.XGBoost.Exception,ML.DMLC.XGBoost.FFI,ML.DMLC.XGBoost.Rabit.FFI,foundation",MIT,0,,0,29431447,GitHub,FALSE,3,MIT,,"ffi-bindings,haskell,machine-learning,xgboost",xgboost,xgboost
N,,,https://github.com/ankane/xgboost-ruby/blob/v0.2.0/Rakefile,licence matching,TRUE,FALSE,FALSE,,2514913,339654,Binding,Rubygems,xgboost,https://github.com/paironair/xgboost-ruby,2017-11-03 18:55:01,3,XGBoost,Ruby binding for XGBoost,PairOnAir/xgboost-ruby,,,MIT,0,,0,30096717,GitHub,FALSE,3,MIT,,,xgboost,xgboost
N,,,,,TRUE,FALSE,FALSE,,3379472,339654,Binding,Clojars,techascent/tech.xgboost,https://github.com/tech-ascent/tech.xgboost,2018-11-05 1:02:40,29,XGBoost,XGBoost bindings for clojure,techascent/tech.xgboost,Simple xgboost bindings,,EPL-1.0,0,,2,36874403,GitHub,FALSE,2,EPL-1.0,,,xgboost,xgboost
