Manual Inspection Notes,Has Bindings?,Main Package,ID,Host Type,Name with Owner,Description,Fork,Created Timestamp,Updated Timestamp,Last pushed Timestamp,Homepage URL,Size,Stars Count,Language,Issues enabled,Wiki enabled,Pages enabled,Forks Count,Mirror URL,Open Issues Count,Default branch,Watchers Count,UUID,Fork Source Name with Owner,License,Contributors Count,Readme filename,Changelog filename,Contributing guidelines filename,License filename,Code of Conduct filename,Security Threat Model filename,Security Audit filename,Status,Last Synced Timestamp,SourceRank,Display Name,Dummy,SCM type,Pull requests enabled,Logo URL,Keywords,Name,Owner,Name Normalized,Name Normalized - No Space,Num of Platforms
,TRUE,353059,165170,GitHub,eclipse/deeplearning4j,"Eclipse Deeplearning4j, ND4J, DataVec and more - deep learning & linear algebra for Java/Scala with GPUs + Spark",FALSE,2013-11-27 2:03:28,2019-11-23 01:10:35 UTC,2019-11-23 01:10:32 UTC,http://deeplearning4j.org,622235,11328,Java,TRUE,TRUE,FALSE,4769,,884,master,839,14734876,,Apache-2.0,276,README.md,change-cuda-versions.sh,,LICENSE,,,,,2018-11-18 11:17:40 UTC,16,GitHub,,git,,,"artificial-intelligence,clojure,deeplearning,deeplearning4j,dl4j,gpu,hadoop,intellij,java,linear-algebra,matrix-library,neural-nets,python,scala,spark",deeplearning4j,eclipse,deeplearning4j,deeplearning4j,2
,TRUE,2239255,168500,GitHub,Alluxio/alluxio,"Alluxio, data orchestration for analytics and machine learning in the cloud",FALSE,2012-12-21 17:43:46,2019-12-19 00:42:40 UTC,2019-12-19 01:15:46 UTC,https://www.alluxio.io,119027,4449,Java,TRUE,TRUE,TRUE,2281,,281,master,432,7276954,,Apache-2.0,429,README.md,,,LICENSE,,,,,2016-11-24 15:12:20 UTC,16,GitHub,,git,,,"alluxio,data-analysis,data-orchestration,hadoop,memory-speed,presto,spark,tensorflow,virtual-distributed-filesystem",alluxio,Alluxio,alluxio,alluxio,2
"NOTE: CRAN has the first release, but PyPI has the newest version",TRUE,repo,339654,GitHub,dmlc/xgboost,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Flink and DataFlow",FALSE,2014-02-06 17:28:03,2019-12-23 15:48:51 UTC,2019-12-23 17:53:58 UTC,https://xgboost.ai/,13891,17996,C++,TRUE,TRUE,FALSE,7236,,213,master,989,16587283,,Apache-2.0,399,README.md,,,LICENSE,,,,,2019-10-11 20:52:57 UTC,17,GitHub,,git,,,"distributed-systems,gbdt,gbm,gbrt,machine-learning,xgboost",xgboost,dmlc,xgboost,xgboost,6
"NOTE: CRAN has the first release, but PyPI has the newest version",TRUE,334746,527263,GitHub,h2oai/h2o-3,"Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning, Gradient Boosting & XGBoost, Random Forest, Generalized Linear Modeling (Logistic Regression, Elastic Net), K-Means, PCA, Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",FALSE,2014-03-03 16:08:07,2019-12-17 05:32:33 UTC,2019-12-17 05:32:28 UTC,http://h2o.ai,453830,4513,Java,FALSE,FALSE,FALSE,1644,,94,master,397,17371412,,Apache-2.0,162,README.md,Changes.md,CONTRIBUTING.md,LICENSE,,,,,2019-07-29 17:12:41 UTC,15,GitHub,,git,,,"automatic,big-data,data-science,deep-learning,distributed,ensemble-learning,gbm,gpu,h2o,hadoop,java,machine-learning,multi-threading,naive-bayes,opensource,pca,python,r,random-forest,spark",h2o-3,h2oai,h2o 3,h2o3,3
,TRUE,repo,573443,GitHub,apache/predictionio,"PredictionIO, a machine learning server for developers and ML engineers.",FALSE,2013-01-25 19:42:32,2019-12-19 01:58:57 UTC,2019-12-16 21:02:42 UTC,https://predictionio.apache.org,36295,12226,Scala,FALSE,FALSE,FALSE,1998,,73,develop,795,7827081,,Apache-2.0,119,README.md,,CONTRIBUTING.md,LICENSE.txt,,,,,2016-11-24 16:16:59 UTC,10,GitHub,,git,,,"big-data,predictionio,scala",predictionio,apache,predictionio,predictionio,8
,TRUE,825940,815940,GitHub,keras-team/keras,Deep Learning for humans,FALSE,2015-03-28 0:35:42,2019-12-17 06:40:51 UTC,2019-12-14 14:16:52 UTC,http://keras.io/,13334,45995,Python,TRUE,TRUE,FALSE,17437,,2742,master,2080,33015583,,Other,718,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-09-17 17:47:09 UTC,18,GitHub,,git,,,"data-science,deep-learning,machine-learning,neural-networks,python,tensorflow",keras,keras-team,keras,keras,3
,TRUE,702828,845049,GitHub,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,FALSE,2010-08-17 9:43:38,2020-01-02 17:27:28 UTC,2020-01-02 17:03:02 UTC,https://scikit-learn.org,114615,38756,Python,TRUE,TRUE,FALSE,18965,,2047,master,2259,843222,,Other,764,README.rst,,CONTRIBUTING.md,COPYING,,,,,2019-12-03 10:13:45 UTC,20,GitHub,,git,,,"data-analysis,data-science,machine-learning,python,statistics",scikit-learn,scikit-learn,scikit learn,scikitlearn,3
,TRUE,61313,845081,GitHub,nltk/nltk,NLTK Source,FALSE,2009-09-07 10:53:58,2019-12-21 08:07:40 UTC,2019-12-20 16:55:41 UTC,http://nltk.org/,346906,8498,Python,TRUE,TRUE,FALSE,2277,,256,develop,497,299862,,Other,160,README.md,ChangeLog,CONTRIBUTING.md,LICENSE.txt,,,,,2017-11-24 18:52:58 UTC,10,GitHub,,git,t,,"machine-learning,natural-language-processing,nlp,nltk,python",nltk,nltk,nltk,nltk,5
,TRUE,79381,845210,GitHub,explosion/spaCy,牒 Industrial-strength Natural Language Processing (NLP) with Python and Cython,FALSE,2014-07-03 15:15:40,2019-11-26 15:11:08 UTC,2019-11-26 15:10:09 UTC,https://spacy.io,165659,15161,Python,TRUE,FALSE,FALSE,2654,,154,master,559,21467110,,MIT,417,README.md,,CONTRIBUTING.md,LICENSE,,,,,2019-11-21 18:37:19 UTC,15,GitHub,,git,,,"ai,artificial-intelligence,big-data,cython,data-science,deep-learning,machine-learning,natural-language-processing,neural-network,neural-networks,nlp,nlp-library,python,spacy",spaCy,explosion,spacy,spacy,2
,TRUE,repo,851991,GitHub,opencv/opencv,Open Source Computer Vision Library,FALSE,2012-07-19 9:40:17,2019-12-31 11:17:19 UTC,2019-12-31 10:17:46 UTC,https://opencv.org,477763,41126,C++,TRUE,TRUE,FALSE,31410,,1772,master,2576,5108051,,Other,465,,,,,,,,,2017-11-24 18:52:17 UTC,11,GitHub,,git,,,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",opencv,opencv,opencv,opencv,10
