,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
521,31970,PyPI,AlchemyAPI,Python access to AlchemyAPI for unstructured text analysis and natural language processing.,alchemyapi api semantic nlp,BSD-3-Clause,,0,0,,1,,,,,,,,,,Alchemy,http://www.alchemyapi.com/,alchemyapi,alchemy,alchemy,"['13491787', '40396672']",community,Binding
594,32402,PyPI,ArenaPy,A simple python interface to the Are.na api,arena rest api client,MIT,https://github.com/jnhasty/arenapy,1,0,,1,180456,GitHub,jnhasty/ArenaPy,A simple python interface to the Arena api.,False,1.0,,,,Are.na,https://github.com/jnhasty/arenapy,github,are na,arena,['37026823'],community,Binding
722,33422,PyPI,birdy,birdy is a super awesome Twitter API client for Python.,twitter api tweet birdy search,MIT,https://github.com/inueni/birdy,5,1,,41,180942,GitHub,inueni/birdy,A super awesome Twitter API client for Python.,False,251.0,MIT,,"python,twitter-api,twitter-client,twitter-streaming-api",birdy,https://github.com/inueni/birdy/,github,birdy,birdy,['15123865'],community,Binding
1101,36041,PyPI,CVtypes,Python OpenCV wrapper using ctypes,OpenCV ctypes wxPython,AFL-3.0,,0,0,,0,,,,,,,,,,OpenCV,http://wwwx.cs.unc.edu/~gb/wp/blog/2007/02/04/python-opencv-wrapper-using-ctypes/,unc,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
1530,44874,PyPI,enet,Enet library bindings for Python.,,Other,,0,0,,0,,,,,,,,,,Enet,UNKNOWN,UNKNOWN,enet,enet,['24799903'],community,Binding
1594,52201,PyPI,ikedarts,Python interface to DARTS by Kudo Taku.,,Other,https://github.com/tengu/ikedarts,3,0,,0,185800,GitHub,tengu/ikedarts,python interface to DARTS,False,0.0,,,,DARTS,https://github.com/tengu/ikedarts,github,darts,darts,['36863929'],community,Binding
1844,61146,Packagist,enl/moses-php-client,PHP Client for Moses xml-rpc server. Moses is a machine translation system,,GPL-3.0+,https://github.com/enl/moses-php-client,1,0,,1,52556,GitHub,enl/moses-php-client,Moses Client for PHP,False,1.0,MIT,,,Moses,,,moses,moses,"['885225', '37277614']",community,Binding
1888,61709,PyPI,ntplib,Python NTP library,,MIT,,2,1,,220,,,,,,,,,,NTP,http://code.google.com/p/ntplib/,google,ntp,ntp,['32528693'],community,Binding
1956,62308,Packagist,euromd/yii2-alchemy-api,Yii2-wrapper for Alchemy API Service,"yii2,alchemy-api",BSD-3-Clause,https://github.com/EuroMD/yii2-alchemy-api,0,0,,0,52970,GitHub,EuroMD/yii2-alchemy-api,Yii2-wrapper for Alchemy API Service,False,0.0,BSD-2-Clause,,,Alchemy,,,alchemy,alchemy,"['13491787', '40396672']",community,Binding
2075,63074,PyPI,ovation,Ovation Python API,,GPL-3.0-only,,69,0,,6,,,,,,,,,,Ovation,https://ovation.io,ovation,ovation,ovation,['28444940'],community,Binding
2080,63110,PyPI,owllib,A OWL API built using RDFLib to simplify working with OWL constructs,owl rdf semantic-web ontology,MIT,https://github.com/joshhanna/owllib,1,0,,0,289577,GitHub,joshhanna/owllib,"OWL API for python, built using rdflib",False,12.0,MIT,,,OWL,https://github.com/joshhanna/owllib,github,owl,owl,['14048954'],community,Binding
2139,63827,Packagist,fastwebmedia/eagle-eye,Send out SMS message via the Eagle Eye API,,,https://github.com/fastwebmedia/Eagle-Eye,6,0,,0,53491,GitHub,fastwebmedia/Eagle-Eye,,False,0.0,,Removed,,Eagle Eye,,,eagle eye,eagleeye,['33038548'],community,Binding
2238,64947,PyPI,pipedream,Flow based programming library for Python,,BSD-3-Clause,https://github.com/tgecho/pipedream,2,0,,0,290123,GitHub,tgecho/pipedream,Flow based programming library for Python,False,1.0,BSD-2-Clause,,,Flow,http://github.com/tgecho/pipedream/,github,flow,flow,"['12755978', '29309986']",community,Binding
2340,65813,Packagist,fmm/oryx-recommend,A php client for the Oryx recommendation service layer,"mahout,hadoop,recommendation,oryx,cloudera",MIT,https://github.com/cesarBere/FMMOryxBundle,0,0,,0,54203,GitHub,cesarBere/FMMOryxBundle,A php client for the Oryx recommendation service and computation layers build on top of Guzzle,False,2.0,,,,Oryx,,,oryx,oryx,"['172689', '279980']",community,Binding
2361,65985,PyPI,PredictionIO,PredictionIO Python SDK,,Other,,15,0,,15,,,,,,,,,,PredictionIO,http://predictionio.apache.org/,apache,predictionio,predictionio,['573443'],community,Binding
2547,67301,PyPI,pyauditor,Python Client Library for Auditor,,MIT,https://github.com/gmjosack/pyauditor,1,0,,0,290773,GitHub,gmjosack/pyauditor,Python Client Library for Auditor,False,2.0,MIT,,,Auditor,https://github.com/gmjosack/pyauditor,github,auditor,auditor,['38446524'],community,Binding
2558,67341,PyPI,pyaxo,Python implementation of the Axolotl ratchet protocol,,Other,https://github.com/rxcomm/pyaxo,27,0,,2,196943,GitHub,rxcomm/pyaxo,A python implementation of the Axolotl ratchet protocol.,False,65.0,GPL-3.0,,,Axolotl,https://github.com/rxcomm/pyaxo,github,axolotl,axolotl,['27867464'],community,Binding
2928,68947,PyPI,pyflix2,"A python module for accessing Netflix REST webservice, both V1 and V2 supports oauth and oob.",,Other,,5,0,,2,,,,,,,,,,Netflix,http://pyflix2.readthedocs.org/,readthedocs,netflix,netflix,['3727191'],community,Binding
